Nombre|| UR|| Description|| Year Created|| Stars|| Number of commits|| Number of contracts|| Days since last commi|| Lines of code												
web3j/web3j||https://github.com/web3j/web3j||Lightweight Java and Android library for integration with Ethereum clients||2016||2105||30||16||27||776												
b9lab/faucet-barebone||https://github.com/b9lab/faucet-barebone||Barebone example of Solidity and Web3.||2016||2||9||1||305||35												
zalesky/solidityIssue||https://github.com/zalesky/solidityIssue||None||2016||0||6||2||781||51												
jbaylina/mixnetsol||https://github.com/jbaylina/mixnetsol||A MIx network implementation in solidity||2016||2||6||2||784||767												
u2/solidity-assembly-practise||https://github.com/u2/solidity-assembly-practise||None||2016||1||7||10||786||347												
monikkinom/ethereum-peer-to-peer-finance||https://github.com/monikkinom/ethereum-peer-to-peer-finance||Smart contracts in solidity for peer-to-peer trade finance||2016||1||2||5||791||367												
o0ragman0o/ReentryProtected||https://github.com/o0ragman0o/ReentryProtected||A Solidity contract to prevent reentry. ||2016||2||6||2||160||76												
HiroshiDeveloper/Solidity||https://github.com/HiroshiDeveloper/Solidity||Smart Contract||2016||0||1||3||787||98												
TheGlassHunt/Ge||https://github.com/TheGlassHunt/Ge||Solidity Contract for sharing money between friends	 Korea style||2016||0||1||1||782||84											
Michikoid/michikoid-cli||https://github.com/Michikoid/michikoid-cli||A command line Interface to build	 deploy and test your solidity smart contracts||2016||1||30||1||238||1											
kustomzone/blockchain||https://github.com/kustomzone/blockchain||Blockchain with Eris and Solidity testcode||2016||0||30||3||777||184												
o0ragman0o/Upgradeable||https://github.com/o0ragman0o/Upgradeable||A base solidity contract provisioning a smart contracts upgrade framework||2016||1||3||2||503||108												
Gavsum/ethereum-baby-steps||https://github.com/Gavsum/ethereum-baby-steps||First steps writing Solidity smart contracts using geth and parity.||2016||0||1||2||777||4												
dmozzy/TimeClock||https://github.com/dmozzy/TimeClock||Time Clock - Ethereum based service delivery contract||2016||18||8||2||590||298												
joeb000/solidity-intro||https://github.com/joeb000/solidity-intro||This repo is meant to be a guide to help developers get up and running with solidity contracts.||2016||1||4||3||774||83												
JoinColony/solcover||https://github.com/JoinColony/solcover||Code coverage for solidity||2016||51||30||30||474||269												
jamesgroton/vDice-Contract-Code||https://github.com/jamesgroton/vDice-Contract-Code||This is the latest Solidity contract we are using for the biggest blockchain game on Ethereum	 vDice.io. Also	 included are the old files for the binary game we made a while back.||2016||27||13||8||192||2845										
amrikmahal/mySmartContract||https://github.com/amrikmahal/mySmartContract||Creating a smart contract using the Solidity add on||2016||0||2||3||767||41												
tgangwani/Ethereum-PPV-contract||https://github.com/tgangwani/Ethereum-PPV-contract||Smart contract for the Ethereum platform in Solidity||2016||0||5||1||763||250												
johnhckuo/Insurance-Smart-Contract||https://github.com/johnhckuo/Insurance-Smart-Contract||The insurance application built on top of Ethereum using Truffle||2016||9||8||3||350||623												
clawoflight/aursec||https://github.com/clawoflight/aursec||Blockchain-based security layer for the AUR||2016||14||30||2||246||122												
sibizulu/solidity||https://github.com/sibizulu/solidity||Solidity Contracts - Experiments||2016||0||13||4||613||166												
mario02423/SolidityNameserver||https://github.com/mario02423/SolidityNameserver||Simple smart contract that contains some string name and associated address to be used by other contracts instead of addresses||2016||0||5||1||755||68												
chuanxd/solidity-example||https://github.com/chuanxd/solidity-example||None||2016||1||4||3||749||39												
rolandtritsch/solidity-conferences||https://github.com/rolandtritsch/solidity-conferences||Ethereum/Solidicy Tutorial to build and run a conference book dApp||2016||0||6||2||711||69												
Deadolus/solidity-prisoners-dilemma||https://github.com/Deadolus/solidity-prisoners-dilemma||Prisoners dilemma as a solidity contract||2016||0||15||2||747||193												
YingTing/Fintech||https://github.com/YingTing/Fintech||EtherTicket using ethereum	 meteor and solidity||2016||0||2||1||758||136											
UrsZeidler/checksumDatabase||https://github.com/UrsZeidler/checksumDatabase||A simple blockchain base database for version checksums.||2016||1||30||1||466||96												
blockapps/blockapps-rest||https://github.com/blockapps/blockapps-rest||REST API wrapper. Great for e2e||2016||28||30||8||27||55												
open-horizon/go-solidity||https://github.com/open-horizon/go-solidity||Horizon smart contracts and smart contract access APIs implemented in Golang for use with Ethereum Solidity||2016||2||30||3||572||548												
mpolci/solidity-sale||https://github.com/mpolci/solidity-sale||Contracts for token sale||2016||0||25||9||732||254												
simeon-r-gordon/branche-contracts||https://github.com/simeon-r-gordon/branche-contracts||A place for the crypto-community to review solidity contracts proposed for use by branche||2016||1||20||2||704||155												
DigixGlobal/solidity-boilerplate||https://github.com/DigixGlobal/solidity-boilerplate||Project boilerplate for Ethereum's Solidity programming language.||2016||8||26||2||601||90												
chrisdannen/Introducing-Ethereum-and-Solidity||https://github.com/chrisdannen/Introducing-Ethereum-and-Solidity||Programming examples from the book.||2016||209||30||3||28||92												
MetaAssetsGlobal/solidity||https://github.com/MetaAssetsGlobal/solidity||Ethereum's Solidity programming language.||2016||0||6||20||739||1412												
liquidvoting/liquidvoting.smartcontract||https://github.com/liquidvoting/liquidvoting.smartcontract||Solidity Smart contract for Liquid Voting||2016||0||8||1||732||53												
ethereum/solidity-examples||https://github.com/ethereum/solidity-examples||Loose collection of Solidity example code||2016||136||30||30||99||4708												
bekahoxoo/zkpcontract||https://github.com/bekahoxoo/zkpcontract||Zero-knowledge proof verification contract in Solidity! #zkpontheblockchain||2016||22||11||2||75||489												
SilentCicero/wafr||https://github.com/SilentCicero/wafr||A super simple Solidity test harness for Ethereum smart-contracts.||2016||28||30||30||439||1283												
federicobond/solidity-spec||https://github.com/federicobond/solidity-spec||A Solidity spec suite to test parsers for language compliance.||2016||7||8||30||310||118												
johnhckuo/Ethereum-101||https://github.com/johnhckuo/Ethereum-101||A tutorial for Solidity newbies :)||2016||4||25||7||350||530												
